State,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
California,1005272,Adelanto Stadium Farmers Market,,,,,,Hwy 395 & Rancho Drive,Victorville,San Bernardino,92392,,,,,,,,,-117.405,34.559299,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1009019,Alameda Farmers' Market,http://www.pcfma.com,https://www.facebook.com/AlamedaFarmersMarket,,,,Haight and Webster St.,Alameda,Alameda,,01/01/2013 to 12/31/2013,Tue: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-122.27676,37.774246,,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2016 12:57
California,1008835,Alisal Certified Farmers' Market,http://www.everyonesharvest.org,https://www.facebook.com/EveryonesHarvest,,,,632 East Alisal Street,Salinas,Monterey,93905,06/28/2016 to 10/11/2016,Tue: 11:00 AM-4:00 PM;,,,,,,,-121.63418,36.673321,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/27/2016 15:24
California,1009998,Altadena Farmers' Market,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,https://twitter.com/AltadenaFM,,http://altadenafm.tumblr.com,600 W. Palm Street,Altadena,Los Angeles,91001,01/08/2014 to 03/05/2014,Wed: 3:00 PM-7:00 PM;,03/12/2014 to 11/05/2014,Wed: 4:00 PM-8:00 PM;,11/12/2014 to 12/31/2014,Wed: 3:00 PM-7:00 PM;,,,-118.15813,34.200378,Local government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,4/22/2014 13:29
California,1011421,Alum Rock Village Farmers' Market,http://www.pcfma.org,www.facebook.com/AlumRockVillageFarmersMarket,www.twitter.com/PacCoastFarmers,,,57 North White Road,San Jose,Santa Clara,,01/01/2015 to 12/31/2015,Sun: 8:00 AM-1:00 PM;,,,,,,,-121.83329,37.367771,,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,7/20/2015 12:39
California,1005644,Amador Farmers' Market-- Jackson,http://www.amadorfarmersmarket.com,,,,,Jackson Library/ True Value,Jackson,Amador,95642,06/07/2015 to 10/01/2015,Sun: 9:00 AM-12:00 PM;,,,,,,,-120.7741,38.348801,,Y,Y,N,Y,N,-,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,3/27/2015 18:09
California,1005645,Amador Farmers' Market-- Pine Grove,http://www.amadorfarmersmarket.com,,,,,Hwy 88 at Irishtown Rd.,Pine Grove,Amador,95665,06/03/2015 to 10/01/2015,Wed: 3:00 PM-6:00 PM;,,,,,,,-120.7741,38.348801,,Y,Y,N,Y,N,-,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,3/27/2015 17:51
California,1005646,Amador Farmers' Market-- Sutter Creek,http://www.amadorfarmersmarket.com,,,,,Eureka St. & Highway 49,Sutter Creek,Amador,95685,06/13/2015 to 10/01/2015,Sat: 9:00 AM-12:00 PM;,,,,,,,-120.7741,38.348801,,Y,Y,N,Y,N,-,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,3/27/2015 17:50
California,1002089,Anderson Happy Valley Farmers Market,,,,,,Happy Valley Rd.,Anderson,Shasta,96007,,,,,,,,,-122.408,40.4487,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009
California,1006268,Angels Camp Farmers Market-Fresh Fridays,http://www.angelscampbusiness.com/events/fresh-fridays/,,,,,"Utica Park, Utica Lane",Angels Camp,Calaveras,95222,June to October,Fri:5:00 PM - 8:00 PM;,,,,,,,-120.5427,38.072159,Other,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,5/1/2012 11:19
California,1011248,Antelope Valley Winery Farmer's Market ,http://www.avwinery.com,,,,,42041 20th St. West,Lancaster,Los Angeles,93534,05/30/2015 to 11/28/2015,Sat: 9:00 AM-12:00 PM;,,,,,,,-118.16623,34.647041,,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,6/17/2015 15:17
California,1009687,Aptos Farmers Market at Cabrillo College,http://www.montereybayfarmers.org,https://www.facebook.com/pages/Monterey-Bay-Certified-Farmers-Markets/112446802152723,https://twitter.com/MBFarmersMarket,,www.edibleparadise.com,6500 Soquel Drive,Aptos,Santa Cruz,95003,01/01/2014 to 12/31/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-121.92704,36.987274,Educational institution,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,3/31/2014 17:49
California,1008482,Arbuckle Certified Farmers Market,http://arbucklerevitalization.org/farmersmarket.html,,,,,6613 Harrington Avenue,Arbuckle ,Amador,,,,,,,,,,-122.06608,38.953014,Other,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/26/2014 15:24
